#cluster	accession	definition	organism	taxid	length
CLSP2492029	NP_597801	hypothetical protein	Streptococcus phage Sfi21	64186	87
CLSP2492027	NP_570381	hypothetical protein	Synechococcus phage P60	151528	87
CLSP2492024	NP_570362	hypothetical protein	Synechococcus phage P60	151528	78
CLSP2492022	YP_001285452	internal virion protein	Synechococcus phage Syn5	438482	234
CLSP2492021	YP_001285441	gp32	Synechococcus phage Syn5	438482	128
CLSP2492019	YP_001285453	internal virion protein	Synechococcus phage Syn5	438482	836
CLSP2492018	YP_001285423	gp14	Synechococcus phage Syn5	438482	149
CLSP2491999	NP_542608	hypothetical protein	Halorubrum phage HF2	33771	156
CLSP2491998	NP_542607	hypothetical protein	Halorubrum phage HF2	33771	258
CLSP2491997	NP_542606	hypothetical protein	Halorubrum phage HF2	33771	89
CLSP2491996	NP_542605	hypothetical protein	Halorubrum phage HF2	33771	35
CLSP2491995	NP_542604	hypothetical protein	Halorubrum phage HF2	33771	64
CLSP2491994	NP_542603	hypothetical protein	Halorubrum phage HF2	33771	68
CLSP2491990	NP_542598	hypothetical protein	Halorubrum phage HF2	33771	143
CLSP2491988	NP_861677	hypothetical protein	Halovirus HF1	222645	318
CLSP2491987	NP_861676	hypothetical protein	Halovirus HF1	222645	259
CLSP2491984	NP_542590	hypothetical protein	Halorubrum phage HF2	33771	169
CLSP2491981	NP_542587	hypothetical protein	Halorubrum phage HF2	33771	92
CLSP2491978	NP_542584	hypothetical protein	Halorubrum phage HF2	33771	177
CLSP2491976	NP_542582	hypothetical protein	Halorubrum phage HF2	33771	326
CLSP2491972	NP_542576	hypothetical protein	Halorubrum phage HF2	33771	565
CLSP2491970	NP_542569	ribonucleotide reductase	Halorubrum phage HF2	33771	805
CLSP2491968	NP_542567	hypothetical protein	Halorubrum phage HF2	33771	84
CLSP2491966	NP_542564	hypothetical protein	Halorubrum phage HF2	33771	155
CLSP2491965	NP_542561	hypothetical protein	Halorubrum phage HF2	33771	85
CLSP2491964	NP_542560	hypothetical protein	Halorubrum phage HF2	33771	61
CLSP2491963	NP_542559	hypothetical protein	Halorubrum phage HF2	33771	77
CLSP2491962	NP_542558	hypothetical protein	Halorubrum phage HF2	33771	143
CLSP2491961	NP_542557	deaminase protein deoxycytidine triphosphate-like protein	Halorubrum phage HF2	33771	182
CLSP2491960	NP_542556	putative phage C31 protein gp16-like protein	Halorubrum phage HF2	33771	234
CLSP2491959	NP_542555	hypothetical protein	Halorubrum phage HF2	33771	70
CLSP2491958	NP_542554	putative DNA-dependent DNA polymerase	Halorubrum phage HF2	33771	854
CLSP2491957	NP_542553	hypothetical protein	Halorubrum phage HF2	33771	39
CLSP2491956	NP_542552	hypothetical protein	Halorubrum phage HF2	33771	157
CLSP2491955	NP_542551	hypothetical protein	Halorubrum phage HF2	33771	304
CLSP2491954	NP_542550	hypothetical protein	Halorubrum phage HF2	33771	66
CLSP2491953	NP_542549	hypothetical protein	Halorubrum phage HF2	33771	69
CLSP2491952	NP_542548	hypothetical protein	Halorubrum phage HF2	33771	59
CLSP2491951	NP_542547	hypothetical protein	Halorubrum phage HF2	33771	42
CLSP2491950	NP_542546	hypothetical protein	Halorubrum phage HF2	33771	338
CLSP2491949	NP_542545	hypothetical protein	Halorubrum phage HF2	33771	29
CLSP2491948	NP_542544	hypothetical protein	Halorubrum phage HF2	33771	54
CLSP2491947	NP_542543	hypothetical protein	Halorubrum phage HF2	33771	52
CLSP2491946	NP_542542	hypothetical protein	Halorubrum phage HF2	33771	94
CLSP2491945	NP_542541	hypothetical protein	Halorubrum phage HF2	33771	128
CLSP2491944	NP_542540	hypothetical protein	Halorubrum phage HF2	33771	116
CLSP2491943	NP_542539	hypothetical protein	Halorubrum phage HF2	33771	141
CLSP2491942	NP_542537	hypothetical protein	Halorubrum phage HF2	33771	411
CLSP2491941	NP_542536	hypothetical protein	Halorubrum phage HF2	33771	497
CLSP2491940	NP_542535	hypothetical protein	Halorubrum phage HF2	33771	83
CLSP2491939	NP_542534	hypothetical protein	Halorubrum phage HF2	33771	320
CLSP2491938	NP_542533	hypothetical protein	Halorubrum phage HF2	33771	70
CLSP2491937	NP_542532	hypothetical protein	Halorubrum phage HF2	33771	43
CLSP2491936	NP_542531	hypothetical protein	Halorubrum phage HF2	33771	176
CLSP2491935	NP_542529	hypothetical conserved protein COG330	Halorubrum phage HF2	33771	291
CLSP2491934	NP_542528	hypothetical protein	Halorubrum phage HF2	33771	161
CLSP2491933	NP_542527	hypothetical protein	Halorubrum phage HF2	33771	159
CLSP2491932	NP_542526	hypothetical protein	Halorubrum phage HF2	33771	154
CLSP2491931	NP_542525	hypothetical protein	Halorubrum phage HF2	33771	110
CLSP2491930	NP_542524	hypothetical protein	Halorubrum phage HF2	33771	98
CLSP2491929	NP_542523	hypothetical protein	Halorubrum phage HF2	33771	150
CLSP2491928	NP_542522	hypothetical protein	Halorubrum phage HF2	33771	111
CLSP2491927	NP_542521	hypothetical protein	Halorubrum phage HF2	33771	143
CLSP2491926	NP_542516	hypothetical protein	Halorubrum phage HF2	33771	132
CLSP2491925	NP_542514	hypothetical protein	Halorubrum phage HF2	33771	110
CLSP2491924	NP_542513	hypothetical protein	Halorubrum phage HF2	33771	217
CLSP2491923	NP_542512	hypothetical protein	Halorubrum phage HF2	33771	72
CLSP2491922	NP_542511	hypothetical protein	Halorubrum phage HF2	33771	283
CLSP2491921	NP_542510	hypothetical protein	Halorubrum phage HF2	33771	89
CLSP2491920	NP_542509	hypothetical protein	Halorubrum phage HF2	33771	121
CLSP2491919	NP_542508	hypothetical protein	Halorubrum phage HF2	33771	222
CLSP2491918	NP_542506	hypothetical protein	Halorubrum phage HF2	33771	82
CLSP2491917	NP_542505	hypothetical protein	Halorubrum phage HF2	33771	35
CLSP2491916	NP_542504	hypothetical protein	Halorubrum phage HF2	33771	92
CLSP2491915	NP_542503	hypothetical protein	Halorubrum phage HF2	33771	47
CLSP2491914	NP_542501	hypothetical protein	Halorubrum phage HF2	33771	96
CLSP2491913	NP_542500	hypothetical protein	Halorubrum phage HF2	33771	119
CLSP2491912	NP_542498	hypothetical protein	Halorubrum phage HF2	33771	42
CLSP2491911	NP_542497	hypothetical protein	Halorubrum phage HF2	33771	116
CLSP2491910	NP_542496	hypothetical protein	Halorubrum phage HF2	33771	116
CLSP2491909	NP_542495	hypothetical protein	Halorubrum phage HF2	33771	320
CLSP2491889	NP_536394	hypothetical protein	Burkholderia phage phiE125	180504	350
CLSP2491879	NP_536655	hypothetical protein	Vibrio phage K139	70734	53
CLSP2491872	NP_536637	hypothetical protein	Vibrio phage K139	70734	81
CLSP2491841	YP_001468900	gp60	Listeria phage A006	330399	49
CLSP2491836	YP_001468891	gp51	Listeria phage A006	330399	30
CLSP2491835	YP_001468890	gp50	Listeria phage A006	330399	36
CLSP2491810	NP_445680	hypothetical protein	Sulfolobus islandicus filamentous virus	176106	99
CLSP2491795	NP_203458	terminase	Myxococcus phage Mx8	49964	482
CLSP2491794	NP_203455	hypothetical protein	Myxococcus phage Mx8	49964	99
CLSP2491793	NP_203440	hypothetical protein	Myxococcus phage Mx8	49964	124
CLSP2491791	NP_203415	hypothetical protein	Myxococcus phage Mx8	49964	264
CLSP2491782	NP_116506	hypothetical protein	Lactococcus phage BK5-T	31754	163
CLSP2491748	NP_076702	repressor	Lactococcus phage bIL309	151537	80
CLSP2491719	NP_075348	gp81	Mycobacterium phage Bxb1	148603	51
CLSP2491716	NP_073688	SSB	Bacillus phage GA-1	12345	170
CLSP2491714	NP_597860	hypothetical protein	Methanobacterium phage psiM2	77048	86
CLSP2491710	NP_510877	hypothetical protein	Guinea pig Chlamydia phage	90963	33
CLSP2491704	NP_061576	Orf80	Pseudomonas phage D3	31535	102
CLSP2491699	NP_818450	gp150	Mycobacterium phage Omega	205879	99
CLSP2491695	NP_061540	Orf44	Pseudomonas phage D3	31535	426
CLSP2491693	NP_061536	Orf40	Pseudomonas phage D3	31535	229
CLSP2491666	NP_958667	77ORF019	Staphylococcus phage 77	259901	216
CLSP2491662	YP_240030	ORF011	Staphylococcus phage 47	320839	401
CLSP2491661	NP_058464	hypothetical protein	Staphylococcus phage PVL	71366	43
CLSP2491660	NP_058461	hypothetical protein	Staphylococcus phage PVL	71366	50
CLSP2491652	NP_945250	DnaD protein	Streptococcus phage EJ-1	12402	282
CLSP2491643	YP_002274192	putative head-tail adaptor	Enterobacteria phage YYZ-2008	564886	116
CLSP2491608	NP_050518	hypothetical protein	Enterobacteria phage VT2-Sakai	97081	51
CLSP2491601	YP_001642357	hypothetical protein	Lactobacillus johnsonii prophage Lj771	139871	80
CLSP2491599	NP_050127	hypothetical protein	Lactobacillus phage phiadh	12417	188
CLSP2491598	YP_529845	hypothetical protein	Lactobacillus phage KC5a	363555	92
CLSP2491577	YP_002854442	mobD.5 hypothetical protein	Enterobacteria phage RB14	197310	62
CLSP2491556	NP_047973	gp28	Streptomyces phage phiC31	10719	108
CLSP2491555	NP_047970	gp25	Streptomyces phage phiC31	10719	238
CLSP2491553	NP_047966	gp21	Streptomyces phage phiC31	10719	90
CLSP2491551	NP_813732	gp18	Streptomyces phage phiBT1	225588	83
CLSP2491550	NP_047962	gp17	Streptomyces phage phiC31	10719	89
CLSP2491549	NP_813730	gp15	Streptomyces phage phiBT1	225588	159
CLSP2491517	NP_047155	e18	Lactococcus phage bIL170	63118	83
CLSP2491516	NP_047148	e25	Lactococcus phage bIL170	63118	53
CLSP2491515	YP_762538	hypothetical protein	Lactococcus phage P008	83129	55
CLSP2491514	YP_002004012	hypothetical protein	Lactococcus phage bIBB29	494269	82
CLSP2491513	NP_046986	hypothetical protein	Methanobacterium phage psiM2	77048	150
CLSP2491512	NP_046985	hypothetical protein	Methanobacterium phage psiM2	77048	124
CLSP2491510	NP_071836	hypothetical protein	Methanothermobacter phage psiM100	173824	240
CLSP2491505	NP_046977	ATP/GTP-binding protein	Methanobacterium phage psiM2	77048	144
CLSP2491504	NP_046976	tail protein	Methanobacterium phage psiM2	77048	1186
CLSP2491499	NP_071824	hypothetical protein	Methanothermobacter phage psiM100	173824	113
CLSP2491498	NP_046969	hypothetical protein	Methanobacterium phage psiM2	77048	110
CLSP2491494	YP_003084145	small terminase subunit	Cyanophage PSS2	658401	175
CLSP2491491	NP_077702	EsV-1-217	Ectocarpus siliculosus virus 1	37665	243
CLSP2491479	YP_001671760	tail fiber	Enterobacteria phage Phieco32	490103	722
CLSP2491477	YP_655614	gp35	Mycobacterium phage Che12	373405	70
CLSP2491473	NP_149548	085L	Invertebrate iridescent virus 6	176652	959
CLSP2491468	YP_002300377	gp19.1	Bacillus phage SPO1	10685	601
CLSP2491447	YP_764308	hypothetical protein	Lactococcus phage 712	213769	44
CLSP2491446	NP_044992	hypothetical protein	Lactococcus phage sk1	31532	67
CLSP2491443	NP_044974	hypothetical protein	Lactococcus phage sk1	31532	61
CLSP2491442	NP_047141	e32	Lactococcus phage bIL170	63118	59
CLSP2491440	YP_001687530	hypothetical protein	Lactococcus phage asccphi28	503388	273
CLSP2491439	NP_043559	hypothetical protein	Lactococcus phage c2	31537	95
CLSP2491421	NP_043537	transcription regulator	Lactococcus phage c2	31537	60
CLSP2491403	NP_043562	hypothetical protein	Lactococcus phage c2	31537	638
CLSP2491402	NP_043563	minor structural protein	Lactococcus phage c2	31537	381
CLSP2491401	NP_043564	minor structural protein	Lactococcus phage c2	31537	415
CLSP2491394	NP_040700	transglycosylase	Enterobacteria phage PRD1	10658	265
CLSP2491393	NP_040686	spike	Enterobacteria phage PRD1	10658	340
CLSP2491382	NP_039782	similar to Staphopain	Sulfolobus spindle-shaped virus 1	244589	178
CLSP2491380	YP_655671	gp92	Mycobacterium phage Che12	373405	78
CLSP2491368	YP_001294537	hypothetical protein ORF029	Pseudomonas phage M6	347328	88
CLSP2344994	YP_001522803	hypothetical protein	Pseudomonas phage LKD16	386792	42
CLSP2344987	YP_001504297	hypothetical protein	Enterococcus phage phiEF24C	442493	296
CLSP2344985	YP_001468916	gp14	Corynebacterium phage P1201	384848	44
CLSP2344982	YP_001468944	gp42	Corynebacterium phage P1201	384848	149
CLSP2344981	YP_001429649	virion structural protein	Bacillus phage 0305phi8-36	458639	293
CLSP2344980	YP_001429624	virion structural protein	Bacillus phage 0305phi8-36	458639	900
CLSP2344975	YP_001994728	gp87	Mycobacterium phage Lockley	540067	223
CLSP2344970	YP_001686768	hypothetical protein	Halomonas phage phiHAP-1	499235	99
CLSP2344966	NP_892087	hypothetical protein	Yersinia phage PY54	172667	234
CLSP2344965	NP_899507	moaA/nifB/pqqE family protein	Vibrio phage KVP40	75320	374
CLSP2344964	NP_899363	hypothetical protein	Vibrio phage KVP40	75320	306
CLSP2344943	YP_001496957	hypothetical protein	Acidianus filamentous virus 2	300186	238
CLSP2344916	YP_001648935	hypothetical protein	Enterobacteria phage Min27	489779	59
CLSP2344912	NP_795598	hypothetical protein	Streptococcus pyogenes phage 315.4	198541	61
CLSP2344895	NP_803395	phi PVL orf 14-like protein	Staphylococcus phage phi13	186153	148
CLSP2344894	YP_240702	ORF031	Staphylococcus phage 88	320848	151
CLSP2344891	NP_958631	77ORF117	Staphylococcus phage 77	259901	46
CLSP2344890	YP_001285348	hypothetical protein	Staphylococcus phage 80alpha	53369	67
CLSP2344889	YP_001285359	hypothetical protein	Staphylococcus phage 80alpha	53369	56
CLSP2344887	YP_001604117	hypothetical protein	Staphylococcus phage phiMR11	379501	68
CLSP2344886	YP_239961	ORF018	Staphylococcus phage 3A	215167	204
CLSP2344884	YP_001285349	hypothetical protein	Staphylococcus phage 80alpha	53369	78
CLSP2344883	YP_240210	ORF078	Staphylococcus phage EW	320841	72
CLSP2344882	YP_240588	ORF038	Staphylococcus phage 29	320846	118
CLSP2344881	YP_240582	ORF064	Staphylococcus phage 29	320846	73
CLSP2344880	YP_240545	ORF039	Staphylococcus phage 29	320846	113
CLSP2344877	YP_240225	ORF127	Staphylococcus phage EW	320841	49
CLSP2344875	YP_240059	ORF041	Staphylococcus phage 47	320839	102
CLSP2344874	YP_950649	hypothetical protein	Staphylococcus phage CNPH82	398839	154
CLSP2344873	YP_240724	ORF108	Staphylococcus phage 88	320848	53
CLSP2344872	YP_239496	ORF107	Staphylococcus phage 187	55511	104
CLSP2344870	YP_240632	ORF036	Staphylococcus phage 52A	320847	131
CLSP2344868	YP_239955	ORF030	Staphylococcus phage 3A	215167	129
CLSP2344866	YP_239575	ORF036	Staphylococcus phage 69	320834	127
CLSP2344863	YP_239982	ORF079	Staphylococcus phage 3A	215167	61
CLSP2344862	NP_597919	hypothetical protein	Staphylococcus prophage phiPV83	129009	75
CLSP2344861	YP_240583	ORF017	Staphylococcus phage 29	320846	262
CLSP2344860	YP_239687	ORF062	Staphylococcus phage 53	320835	58
CLSP2344859	YP_239899	ORF029	Staphylococcus phage 42E	320837	149
CLSP2344858	YP_240117	ORF066	Staphylococcus phage 37	320840	78
CLSP2344856	YP_239517	ORF016	Staphylococcus phage 187	55511	251
CLSP2344855	NP_958613	77ORF034	Staphylococcus phage 77	259901	116
CLSP2344854	YP_239865	ORF035	Staphylococcus phage 42E	320837	131
CLSP2344853	NP_958611	77ORF027	Staphylococcus phage 77	259901	135
CLSP2344852	YP_239941	ORF036	Staphylococcus phage 3A	215167	110
CLSP2344851	NP_803391	phi PVL orf 10-like protein	Staphylococcus phage phi13	186153	111
CLSP2344850	NP_958609	77ORF033	Staphylococcus phage 77	259901	120
CLSP2344848	YP_240812	ORF038	Staphylococcus phage 92	320849	129
CLSP2344846	YP_240663	ORF061	Staphylococcus phage 52A	320847	82
CLSP2344844	YP_240803	ORF023	Staphylococcus phage 92	320849	207
CLSP2344840	YP_240581	ORF048	Staphylococcus phage 29	320846	86
CLSP2344839	YP_239901	ORF098	Staphylococcus phage 42E	320837	53
CLSP2344832	NP_803750	ORF184	Pseudomonas phage phiKZ	169683	230
CLSP2344802	YP_001957008	thymidylate kinase	Pseudomonas phage 201phi2-1	198110	357
CLSP2344789	YP_418137	hypothetical protein	Pseudomonas phage EL	273133	773
CLSP2344788	NP_803863	ORF297	Pseudomonas phage phiKZ	169683	170
CLSP2344784	NP_803667	ORF101	Pseudomonas phage phiKZ	169683	460
CLSP2344782	YP_001956885	hypothetical protein	Pseudomonas phage 201phi2-1	198110	553
CLSP2344777	YP_418068	hypothetical protein	Pseudomonas phage EL	273133	478
CLSP2344774	YP_418060	hypothetical protein	Pseudomonas phage EL	273133	213
CLSP2344768	NP_803593	ORF027	Pseudomonas phage phiKZ	169683	898
PCLA_2344752	WP_015984929.1	hypothetical protein	Salmonella enterica	28901	216
CLSP2344734	YP_001936165	gp74	Mycobacterium phage Adjutor	528321	146
CLSP2344733	YP_001936164	gp73	Mycobacterium phage Adjutor	528321	71
CLSP2344712	YP_001936130	gp39	Mycobacterium phage Adjutor	528321	151
CLSP2344706	YP_001936114	gp23	Mycobacterium phage Adjutor	528321	118
CLSP2344701	YP_001936095	gp4	Mycobacterium phage Adjutor	528321	54
CLSP2344700	YP_001936094	gp3	Mycobacterium phage Adjutor	528321	64
CLSP2344689	YP_002941919	gp61	Mycobacterium phage Angel	649688	73
CLSP2344677	YP_002941906	gp48	Mycobacterium phage Angel	649688	81
CLSP2344659	YP_002241348	gp38	Mycobacterium phage Chah	563124	199
CLSP2344658	YP_002564134	gp36	Mycobacterium phage Phlyer	591487	217
CLSP2344655	YP_655708	gp28	Mycobacterium phage Qyrzula	373414	478
CLSP2344627	YP_001552393	gp64	Mycobacterium phage Giles	480808	165
CLSP2344561	YP_001936173	gp82	Mycobacterium phage Adjutor	528321	131
CLSP2344557	NP_075346	gp79	Mycobacterium phage Bxb1	148603	57
CLSP2344548	NP_818369	gp68	Mycobacterium phage Omega	205879	82
CLSP2344523	YP_001491679	gp27	Mycobacterium phage Bethlehem	260121	148
CLSP2344516	YP_001491671	gp19	Mycobacterium phage Bethlehem	260121	148
CLSP2344500	YP_001994734	gp3	Mycobacterium phage DD5	540064	144
CLSP2344470	YP_654888	gp135	Mycobacterium phage 244	373403	105
CLSP2344464	YP_654881	gp128	Mycobacterium phage 244	373403	53
CLSP2344463	YP_654880	gp127	Mycobacterium phage 244	373403	43
CLSP2344462	YP_654879	gp126	Mycobacterium phage 244	373403	59
CLSP2344461	NP_818483	gp183	Mycobacterium phage Omega	205879	57
CLSP2344459	YP_654876	gp123	Mycobacterium phage 244	373403	55
CLSP2344455	YP_654872	gp119	Mycobacterium phage 244	373403	57
CLSP2344447	YP_654859	gp104	Mycobacterium phage 244	373403	96
CLSP2344442	YP_654850	gp95	Mycobacterium phage 244	373403	52
CLSP2344439	YP_654849	gp94	Mycobacterium phage 244	373403	86
CLSP2344434	YP_655950	gp85	Mycobacterium phage Wildcat	373415	134
CLSP2344433	YP_654840	gp85	Mycobacterium phage 244	373403	73
CLSP2344429	NP_817528	gp79	Mycobacterium phage Cjw1	205869	78
CLSP2344427	YP_654831	gp76	Mycobacterium phage 244	373403	77
CLSP2344426	NP_569782	hypothetical protein	Mycobacterium phage TM4	88870	67
CLSP2344415	YP_654820	gp65	Mycobacterium phage 244	373403	53
CLSP2344413	YP_654818	gp63	Mycobacterium phage 244	373403	35
CLSP2344412	YP_654817	gp62	Mycobacterium phage 244	373403	101
CLSP2344406	YP_654810	gp55	Mycobacterium phage 244	373403	257
CLSP2344404	YP_002014370	gp49	Mycobacterium phage Porky	546185	62
CLSP2344401	YP_654804	gp49	Mycobacterium phage 244	373403	71
CLSP2344390	YP_002241361	gp51	Mycobacterium phage Chah	563124	451
CLSP2344383	YP_654790	gp35	Mycobacterium phage 244	373403	127
CLSP2344379	YP_654786	gp31	Mycobacterium phage 244	373403	142
CLSP2344372	YP_001994668	gp27	Mycobacterium phage Lockley	540067	600
CLSP2344370	YP_003495157	gp16	Mycobacterium phage Ardmore	685506	569
CLSP2344363	YP_654773	gp18	Mycobacterium phage 244	373403	134
CLSP2344359	YP_002014482	gp14	Mycobacterium phage Kostya	546183	63
PCLA_2344351	WP_015976700.1	hypothetical protein	Salmonella enterica	28901	169
CLSP2344348	YP_239874	ORF014	Staphylococcus phage 42E	320837	274
CLSP2344347	YP_240603	ORF030	Staphylococcus phage 29	320846	140
CLSP2344346	NP_818010	gp37	Mycobacterium phage Che9d	205876	85
CLSP2344341	YP_002941865	gp7	Mycobacterium phage Angel	649688	311
CLSP2344335	YP_240226	ORF030	Staphylococcus phage EW	320841	139
CLSP2344331	YP_239578	ORF038	Staphylococcus phage 69	320834	121
CLSP2344326	YP_240385	ORF014	Staphylococcus phage 71	320844	274
CLSP2344325	YP_240452	ORF038	Staphylococcus phage 55	320845	123
CLSP2344314	YP_762541	hypothetical protein	Lactococcus phage P008	83129	67
CLSP2344313	YP_762539	hypothetical protein	Lactococcus phage P008	83129	62
CLSP2344312	YP_762535	hypothetical protein	Lactococcus phage P008	83129	85
CLSP2344309	NP_108687	hypothetical protein	Lactococcus phage Tuc2009	35241	64
CLSP2344269	YP_001429840	hypothetical protein	Staphylococcus phage tp310-1	445515	74
